id,temp,humidity,aqi
1,7,27,67
2,6,28,68
3,6,28,67
4,7,27,67
5,7,27,67
6,7,27,67
7,7,27,67
8,7,27,67
9,7,27,67
10,7,27,67
11,6,28,66
12,6,28,66
13,6,28,66
14,7,27,66
15,7,27,66
16,6,28,67
17,7,27,66
18,7,27,66
19,7,27,67
20,7,27,66
21,6,28,66
22,6,29,66
23,7,28,67
24,7,28,66
25,7,28,66
26,7,28,67
27,7,30,66
28,7,30,66
29,8,30,66
30,7,28,66
31,7,28,66
32,6,29,65
33,7,28,66
34,7,28,66
35,7,28,66
36,6,29,66
37,7,28,66
38,6,29,66
39,6,29,65
40,6,29,66
41,6,31,66
42,6,31,66
43,6,31,65
44,6,31,66
45,6,31,66
46,6,31,66
47,6,31,66
48,6,31,66
49,6,31,66
50,6,31,66
51,6,31,66
52,6,31,65
53,5,31,66
54,5,33,66
55,5,34,65
56,5,34,66
57,6,34,66
58,6,35,66
59,6,37,66
60,6,38,65
61,6,38,66
62,6,38,66
63,6,38,66
64,6,39,66
65,6,39,66
66,6,39,67
67,6,39,67
68,6,39,66
69,6,39,66
70,6,39,67
71,6,39,66
72,5,39,66
73,5,39,66
74,5,39,66
75,5,39,66
76,5,39,66
77,5,39,66
78,5,39,66
79,5,39,66
80,5,39,66
81,5,39,66
82,5,39,67
83,5,39,66
84,4,40,68
85,4,40,68
86,4,40,68
87,4,40,68
88,4,40,68
89,4,40,68
90,4,40,68
91,4,40,68
92,4,40,68
93,4,40,68
94,4,40,68
95,4,40,68
96,4,40,68
97,4,40,68
98,4,40,68
99,4,40,68
100,4,40,68
