id,temp,humidity,aqi
1,6,26,167
2,6,26,167
3,6,26,168
4,6,27,167
5,6,27,167
6,6,27,167
7,6,27,167
8,6,27,167
9,6,28,167
10,6,28,167
11,6,28,167
12,6,28,166
13,6,28,166
14,6,28,166
15,6,28,166
16,6,28,166
17,6,28,167
18,5,28,151
19,5,28,145
20,5,28,141
21,6,28,137
22,6,29,135
23,5,29,134
24,5,29,132
25,5,30,131
26,5,31,130
27,5,31,129
28,5,33,129
29,5,33,128
30,5,34,128
31,5,34,137
32,5,34,138
33,5,35,138
34,5,35,138
35,5,38,142
36,5,38,145
37,5,39,150
38,5,39,151
39,5,39,145
40,5,39,142
41,5,39,141
42,5,39,135
43,5,39,131
44,5,39,126
45,5,39,126
46,5,39,126
47,5,39,126
48,5,39,127
49,5,39,127
50,5,39,126
51,5,39,126
52,5,39,126
53,4,40,130
54,4,40,130
55,4,40,130
56,4,40,128
57,4,40,128
58,4,40,129
59,4,40,128
60,4,40,128
61,4,40,128
62,4,40,129
63,4,40,128
64,4,40,129
65,4,40,129
66,4,40,129
67,4,40,131
68,4,40,131
69,4,40,131
70,4,40,131
71,4,40,131
72,4,40,131
73,4,40,167
74,4,41,168
75,4,41,167
76,4,41,167
77,4,41,167
78,4,41,167
79,4,41,167
80,4,41,167
81,4,41,167
82,4,41,167
83,4,41,166
84,4,41,166
85,4,41,166
86,4,41,166
87,4,41,166
88,4,41,167
89,4,41,166
90,4,41,166
91,4,41,167
92,4,41,166
93,4,41,166
94,4,41,166
95,4,41,167
96,4,41,166
97,4,41,166
98,4,41,167
99,4,41,166
100,4,41,166
